,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4622,0.576,0.321,10,-11.602,1,0.0938,0.614,0.0,0.296,0.664,159.226,audio_features,3mYKVGjd2OYEOdL3j8PZ5Q,spotify:track:3mYKVGjd2OYEOdL3j8PZ5Q,https://api.spotify.com/v1/tracks/3mYKVGjd2OYEOdL3j8PZ5Q,https://api.spotify.com/v1/audio-analysis/3mYKVGjd2OYEOdL3j8PZ5Q,164320,4
4623,0.529,0.261,5,-14.493,1,0.0347,0.854,6.57e-06,0.13,0.451,133.647,audio_features,3NdHYXQK5gkFFEZvSMVVj6,spotify:track:3NdHYXQK5gkFFEZvSMVVj6,https://api.spotify.com/v1/tracks/3NdHYXQK5gkFFEZvSMVVj6,https://api.spotify.com/v1/audio-analysis/3NdHYXQK5gkFFEZvSMVVj6,194040,3
4624,0.622,0.24,5,-14.067,0,0.0363,0.798,0.0,0.142,0.587,132.234,audio_features,0elmUoU7eMPwZX1Mw1MnQo,spotify:track:0elmUoU7eMPwZX1Mw1MnQo,https://api.spotify.com/v1/tracks/0elmUoU7eMPwZX1Mw1MnQo,https://api.spotify.com/v1/audio-analysis/0elmUoU7eMPwZX1Mw1MnQo,202160,4
4625,0.346,0.429,8,-8.208,1,0.0292,0.394,0.0,0.166,0.545,132.398,audio_features,5ZXHIeyneAhJHjR1JQ2cYs,spotify:track:5ZXHIeyneAhJHjR1JQ2cYs,https://api.spotify.com/v1/tracks/5ZXHIeyneAhJHjR1JQ2cYs,https://api.spotify.com/v1/audio-analysis/5ZXHIeyneAhJHjR1JQ2cYs,174840,3
4626,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,audio_features,4Hhv2vrOTy89HFRcjU3QOx,spotify:track:4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/tracks/4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693,3
4627,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,audio_features,66iKqUazBbTlAEjcZrpDkD,spotify:track:66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/tracks/66iKqUazBbTlAEjcZrpDkD,https://api.spotify.com/v1/audio-analysis/66iKqUazBbTlAEjcZrpDkD,151867,4
4628,0.654,0.309,3,-13.485,1,0.168,0.818,0.0,0.315,0.599,123.251,audio_features,6NDaYWg85ZnJ3Ae0WkILWh,spotify:track:6NDaYWg85ZnJ3Ae0WkILWh,https://api.spotify.com/v1/tracks/6NDaYWg85ZnJ3Ae0WkILWh,https://api.spotify.com/v1/audio-analysis/6NDaYWg85ZnJ3Ae0WkILWh,251600,4
4629,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554,audio_features,3YdKJzcoMZMacISlpY4QoP,spotify:track:3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/tracks/3YdKJzcoMZMacISlpY4QoP,https://api.spotify.com/v1/audio-analysis/3YdKJzcoMZMacISlpY4QoP,202773,3
4630,0.317,0.336,2,-9.428,1,0.0323,0.895,0.00649,0.216,0.29,129.265,audio_features,6LOmCFmXhVHlTkXOLWXYKP,spotify:track:6LOmCFmXhVHlTkXOLWXYKP,https://api.spotify.com/v1/tracks/6LOmCFmXhVHlTkXOLWXYKP,https://api.spotify.com/v1/audio-analysis/6LOmCFmXhVHlTkXOLWXYKP,178840,4
4631,0.834,0.284,3,-13.497,1,0.102,0.657,2.4e-06,0.0676,0.684,92.224,audio_features,6QfGyzfwf7dm38Tmf49BpC,spotify:track:6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/tracks/6QfGyzfwf7dm38Tmf49BpC,https://api.spotify.com/v1/audio-analysis/6QfGyzfwf7dm38Tmf49BpC,160467,4
